date,state,fips,new,value,type,growth
2020-02-17,Arizona,4,0,0,deaths,
2020-02-17,California,6,0,7,cases,0.0
2020-02-17,California,6,0,0,deaths,
2020-02-17,Illinois,17,0,2,cases,0.0
2020-02-17,Illinois,17,0,0,deaths,
2020-02-17,Massachusetts,25,0,1,cases,0.0
2020-02-17,Massachusetts,25,0,0,deaths,
2020-02-17,Texas,48,0,2,cases,0.0
2020-02-17,Texas,48,0,0,deaths,
2020-02-17,Washington,53,0,1,cases,0.0
2020-02-17,Washington,53,0,0,deaths,
2020-02-17,Wisconsin,55,0,1,cases,0.0
2020-02-17,Wisconsin,55,0,0,deaths,
2020-02-18,Arizona,4,0,1,cases,0.0
2020-02-18,Arizona,4,0,0,deaths,
2020-02-18,California,6,0,7,cases,0.0
2020-02-18,California,6,0,0,deaths,
2020-02-18,Illinois,17,0,2,cases,0.0
2020-02-18,Illinois,17,0,0,deaths,
2020-02-18,Massachusetts,25,0,1,cases,0.0
2020-02-18,Massachusetts,25,0,0,deaths,
2020-02-18,Nebraska,31,0,10,cases,0.0
2020-02-18,Nebraska,31,0,0,deaths,
2020-02-18,Texas,48,0,2,cases,0.0
2020-02-18,Texas,48,0,0,deaths,
2020-02-18,Washington,53,0,1,cases,0.0
2020-02-18,Washington,53,0,0,deaths,
2020-02-18,Wisconsin,55,0,1,cases,0.0
2020-02-18,Wisconsin,55,0,0,deaths,
2020-02-19,Arizona,4,0,1,cases,0.0
2020-02-19,Arizona,4,0,0,deaths,
2020-02-19,California,6,0,7,cases,0.0
2020-02-19,California,6,0,0,deaths,
2020-02-19,Illinois,17,0,2,cases,0.0
2020-02-19,Illinois,17,0,0,deaths,
2020-02-19,Massachusetts,25,0,1,cases,0.0
2020-02-19,Massachusetts,25,0,0,deaths,
2020-02-19,Nebraska,31,0,10,cases,0.0
2020-02-19,Nebraska,31,0,0,deaths,
2020-02-19,Texas,48,0,2,cases,0.0
2020-02-19,Texas,48,0,0,deaths,
2020-02-19,Washington,53,0,1,cases,0.0
2020-02-19,Washington,53,0,0,deaths,
2020-02-19,Wisconsin,55,0,1,cases,0.0
2020-02-19,Wisconsin,55,0,0,deaths,
2020-02-20,Arizona,4,0,1,cases,0.0
2020-02-20,Arizona,4,0,0,deaths,
2020-02-20,California,6,1,8,cases,0.14285714285714285
2020-02-20,California,6,0,0,deaths,
2020-02-20,Illinois,17,0,2,cases,0.0
2020-02-20,Illinois,17,0,0,deaths,
2020-02-20,Massachusetts,25,0,1,cases,0.0
2020-02-20,Massachusetts,25,0,0,deaths,
2020-02-20,Nebraska,31,1,11,cases,0.1
2020-02-20,Nebraska,31,0,0,deaths,
2020-02-20,Texas,48,0,2,cases,0.0
2020-02-20,Texas,48,0,0,deaths,
2020-02-20,Washington,53,0,1,cases,0.0
2020-02-20,Washington,53,0,0,deaths,
2020-02-20,Wisconsin,55,0,1,cases,0.0
2020-02-20,Wisconsin,55,0,0,deaths,
2020-02-21,Arizona,4,0,1,cases,0.0
2020-02-21,Arizona,4,0,0,deaths,
2020-02-21,California,6,1,9,cases,0.125
2020-02-21,California,6,0,0,deaths,
2020-02-21,Illinois,17,0,2,cases,0.0
2020-02-21,Illinois,17,0,0,deaths,
2020-02-21,Massachusetts,25,0,1,cases,0.0
2020-02-21,Massachusetts,25,0,0,deaths,
2020-02-21,Nebraska,31,0,11,cases,0.0
2020-02-21,Nebraska,31,0,0,deaths,
2020-02-21,Texas,48,2,4,cases,1.0
2020-02-21,Texas,48,0,0,deaths,
